rank,file,line,ef,ep,nf,np,tarantula,ochiai,dstar2,text
116,src/decode.rs,502,1,0,0,2,1.0,1.0,inf,while x != 0 {
117,src/decode.rs,506,1,0,0,2,1.0,1.0,inf,result
118,src/decode.rs,507,1,0,0,2,1.0,1.0,inf,}
119,src/decode.rs,514,1,0,0,2,1.0,1.0,inf,"fn ReadSimpleHuffmanSymbols<AllocU8: alloc::Allocator<u8>,"
120,src/decode.rs,523,1,0,0,2,1.0,1.0,inf,let max_bits = Log2Floor(alphabet_size - 1);
121,src/decode.rs,524,1,0,0,2,1.0,1.0,inf,let mut i = s.sub_loop_counter;
122,src/decode.rs,525,1,0,0,2,1.0,1.0,inf,let num_symbols = s.symbol;
123,src/decode.rs,526,1,0,0,2,1.0,1.0,inf,for symbols_lists_item in fast_mut!((s.symbols_lists_array)[s.sub_loop_counter as usize;
124,src/decode.rs,527,1,0,0,2,1.0,1.0,inf,num_symbols as usize + 1])
125,src/decode.rs,528,1,0,0,2,1.0,1.0,inf,.iter_mut() {
126,src/decode.rs,529,1,0,0,2,1.0,1.0,inf,let mut v: u32 = 0;
127,src/decode.rs,530,1,0,0,2,1.0,1.0,inf,"if !bit_reader::BrotliSafeReadBits(&mut s.br, max_bits, &mut v, input) {"
128,src/decode.rs,535,1,0,0,2,1.0,1.0,inf,}
129,src/decode.rs,536,1,0,0,2,1.0,1.0,inf,if (v >= max_symbol) {
130,src/decode.rs,538,1,0,0,2,1.0,1.0,inf,}
131,src/decode.rs,539,1,0,0,2,1.0,1.0,inf,*symbols_lists_item = v as u16;
132,src/decode.rs,541,1,0,0,2,1.0,1.0,inf,i += 1;
133,src/decode.rs,543,1,0,0,2,1.0,1.0,inf,i = 0;
134,src/decode.rs,544,1,0,0,2,1.0,1.0,inf,for symbols_list_item in fast!((s.symbols_lists_array)[0; num_symbols as usize]).iter() {
135,src/decode.rs,545,1,0,0,2,1.0,1.0,inf,for other_item in fast!((s.symbols_lists_array)[i as usize + 1 ; num_symbols as usize+ 1])
136,src/decode.rs,546,1,0,0,2,1.0,1.0,inf,.iter() {
137,src/decode.rs,547,1,0,0,2,1.0,1.0,inf,if (*symbols_list_item == *other_item) {
138,src/decode.rs,549,1,0,0,2,1.0,1.0,inf,}
139,src/decode.rs,551,1,0,0,2,1.0,1.0,inf,i += 1;
140,src/decode.rs,553,1,0,0,2,1.0,1.0,inf,BrotliDecoderErrorCode::BROTLI_DECODER_SUCCESS
141,src/decode.rs,554,1,0,0,2,1.0,1.0,inf,}
142,src/decode.rs,563,1,0,0,2,1.0,1.0,inf,"fn ProcessSingleCodeLength(code_len: u32,"
143,src/decode.rs,572,1,0,0,2,1.0,1.0,inf,*repeat = 0;
144,src/decode.rs,573,1,0,0,2,1.0,1.0,inf,if (code_len != 0) {
145,src/decode.rs,576,1,0,0,2,1.0,1.0,inf,fast_mut!((symbol_lists)[(symbol_list_index_offset as i32 +
146,src/decode.rs,579,1,0,0,2,1.0,1.0,inf,fast_mut!((next_symbol)[code_len as usize]) = (*symbol) as i32;
147,src/decode.rs,580,1,0,0,2,1.0,1.0,inf,*prev_code_len = code_len;
148,src/decode.rs,581,1,0,0,2,1.0,1.0,inf,*space = space.wrapping_sub(32768 >> code_len);
149,src/decode.rs,586,1,0,0,2,1.0,1.0,inf,(*symbol) += 1;
150,src/decode.rs,587,1,0,0,2,1.0,1.0,inf,}
151,src/decode.rs,659,1,0,0,2,1.0,1.0,inf,"fn ReadSymbolCodeLengths<AllocU8: alloc::Allocator<u8>,"
152,src/decode.rs,667,1,0,0,2,1.0,1.0,inf,let mut symbol = s.symbol;
153,src/decode.rs,668,1,0,0,2,1.0,1.0,inf,let mut repeat = s.repeat;
154,src/decode.rs,669,1,0,0,2,1.0,1.0,inf,let mut space = s.space;
155,src/decode.rs,670,1,0,0,2,1.0,1.0,inf,let mut prev_code_len: u32 = s.prev_code_len;
156,src/decode.rs,671,1,0,0,2,1.0,1.0,inf,let mut repeat_code_len: u32 = s.repeat_code_len;
157,src/decode.rs,672,1,0,0,2,1.0,1.0,inf,"if (!bit_reader::BrotliWarmupBitReader(&mut s.br, input)) {"
158,src/decode.rs,674,1,0,0,2,1.0,1.0,inf,}
159,src/decode.rs,675,1,0,0,2,1.0,1.0,inf,while (symbol < alphabet_size && space > 0) {
160,src/decode.rs,676,1,0,0,2,1.0,1.0,inf,let mut p_index = 0;
161,src/decode.rs,678,1,0,0,2,1.0,1.0,inf,"if (!bit_reader::BrotliCheckInputAmount(&s.br, bit_reader::BROTLI_SHORT_FILL_BIT_WINDOW_READ)) {"
162,src/decode.rs,685,1,0,0,2,1.0,1.0,inf,}
163,src/decode.rs,686,1,0,0,2,1.0,1.0,inf,"bit_reader::BrotliFillBitWindow16(&mut s.br, input);"
164,src/decode.rs,687,1,0,0,2,1.0,1.0,inf,p_index +=
165,src/decode.rs,688,1,0,0,2,1.0,1.0,inf,bit_reader::BrotliGetBitsUnmasked(&s.br) &
166,src/decode.rs,690,1,0,0,2,1.0,1.0,inf,let p = fast!((s.table)[p_index as usize]);
167,src/decode.rs,691,1,0,0,2,1.0,1.0,inf,"bit_reader::BrotliDropBits(&mut s.br, p.bits as u32); /* Use 1..5 bits */"
168,src/decode.rs,692,1,0,0,2,1.0,1.0,inf,code_len = p.value as u32; /* code_len == 0..17 */
169,src/decode.rs,693,1,0,0,2,1.0,1.0,inf,if (code_len < kCodeLengthRepeatCode) {
170,src/decode.rs,694,1,0,0,2,1.0,1.0,inf,"ProcessSingleCodeLength(code_len,"
171,src/decode.rs,695,1,0,0,2,1.0,1.0,inf,"&mut symbol,"
172,src/decode.rs,696,1,0,0,2,1.0,1.0,inf,"&mut repeat,"
173,src/decode.rs,697,1,0,0,2,1.0,1.0,inf,"&mut space,"
174,src/decode.rs,698,1,0,0,2,1.0,1.0,inf,"&mut prev_code_len,"
175,src/decode.rs,699,1,0,0,2,1.0,1.0,inf,"&mut s.symbols_lists_array,"
176,src/decode.rs,700,1,0,0,2,1.0,1.0,inf,"s.symbol_lists_index as usize,"
177,src/decode.rs,701,1,0,0,2,1.0,1.0,inf,"&mut s.code_length_histo[..],"
178,src/decode.rs,727,1,0,0,2,1.0,1.0,inf,s.space = space;
179,src/decode.rs,728,1,0,0,2,1.0,1.0,inf,BrotliDecoderErrorCode::BROTLI_DECODER_SUCCESS
180,src/decode.rs,729,1,0,0,2,1.0,1.0,inf,}
181,src/decode.rs,837,1,0,0,2,1.0,1.0,inf,space = space.wrapping_sub(32 >> v);
182,src/decode.rs,838,1,0,0,2,1.0,1.0,inf,num_codes += 1;
183,src/decode.rs,839,1,0,0,2,1.0,1.0,inf,fast_mut!((s.code_length_histo)[v as usize]) += 1;
184,src/decode.rs,840,1,0,0,2,1.0,1.0,inf,if space.wrapping_sub(1) >= 32 {
185,src/decode.rs,843,1,0,0,2,1.0,1.0,inf,}
186,src/decode.rs,849,1,0,0,2,1.0,1.0,inf,}
187,src/decode.rs,850,1,0,0,2,1.0,1.0,inf,BrotliDecoderErrorCode::BROTLI_DECODER_SUCCESS
188,src/decode.rs,904,1,0,0,2,1.0,1.0,inf,}
189,src/decode.rs,905,1,0,0,2,1.0,1.0,inf,s.substate_huffman = BrotliRunningHuffmanState::BROTLI_STATE_HUFFMAN_SIMPLE_SIZE;
190,src/decode.rs,910,1,0,0,2,1.0,1.0,inf,"if (!bit_reader::BrotliSafeReadBits(&mut s.br, 2, &mut s.symbol, input)) {"
191,src/decode.rs,914,1,0,0,2,1.0,1.0,inf,}
192,src/decode.rs,915,1,0,0,2,1.0,1.0,inf,s.sub_loop_counter = 0;
193,src/decode.rs,917,1,0,0,2,1.0,1.0,inf,s.substate_huffman = BrotliRunningHuffmanState::BROTLI_STATE_HUFFMAN_SIMPLE_READ;
194,src/decode.rs,920,1,0,0,2,1.0,1.0,inf,"let result = ReadSimpleHuffmanSymbols(alphabet_size, max_symbol, s, input);"
195,src/decode.rs,921,1,0,0,2,1.0,1.0,inf,match result {
196,src/decode.rs,922,1,0,0,2,1.0,1.0,inf,BrotliDecoderErrorCode::BROTLI_DECODER_SUCCESS => {}
197,src/decode.rs,926,1,0,0,2,1.0,1.0,inf,s.substate_huffman = BrotliRunningHuffmanState::BROTLI_STATE_HUFFMAN_SIMPLE_BUILD;
198,src/decode.rs,930,1,0,0,2,1.0,1.0,inf,if (s.symbol == 3) {
199,src/decode.rs,937,1,0,0,2,1.0,1.0,inf,}
200,src/decode.rs,939,1,0,0,2,1.0,1.0,inf,"table_size = huffman::BrotliBuildSimpleHuffmanTable(&mut table[offset..],"
201,src/decode.rs,940,1,0,0,2,1.0,1.0,inf,"HUFFMAN_TABLE_BITS as i32,"
202,src/decode.rs,943,1,0,0,2,1.0,1.0,inf,if let Some(opt_table_size_ref) = opt_table_size {
203,src/decode.rs,944,1,0,0,2,1.0,1.0,inf,*opt_table_size_ref = table_size
204,src/decode.rs,945,1,0,0,2,1.0,1.0,inf,}
205,src/decode.rs,946,1,0,0,2,1.0,1.0,inf,s.substate_huffman = BrotliRunningHuffmanState::BROTLI_STATE_HUFFMAN_NONE;
206,src/decode.rs,947,1,0,0,2,1.0,1.0,inf,return BrotliDecoderErrorCode::BROTLI_DECODER_SUCCESS;
207,src/decode.rs,955,1,0,0,2,1.0,1.0,inf,BrotliDecoderErrorCode::BROTLI_DECODER_SUCCESS => {}
208,src/decode.rs,958,1,0,0,2,1.0,1.0,inf,"huffman::BrotliBuildCodeLengthsHuffmanTable(&mut s.table,"
209,src/decode.rs,959,1,0,0,2,1.0,1.0,inf,"&s.code_length_code_lengths,"
210,src/decode.rs,960,1,0,0,2,1.0,1.0,inf,&s.code_length_histo);
211,src/decode.rs,961,1,0,0,2,1.0,1.0,inf,for code_length_histo in s.code_length_histo[..].iter_mut() {
212,src/decode.rs,965,1,0,0,2,1.0,1.0,inf,let max_code_length = huffman::BROTLI_HUFFMAN_MAX_CODE_LENGTH as usize + 1;
213,src/decode.rs,966,1,0,0,2,1.0,1.0,inf,"for (i, next_symbol_mut) in fast_mut!((s.next_symbol)[0; max_code_length])"
214,src/decode.rs,967,1,0,0,2,1.0,1.0,inf,.iter_mut()
215,src/decode.rs,968,1,0,0,2,1.0,1.0,inf,.enumerate() {
216,src/decode.rs,969,1,0,0,2,1.0,1.0,inf,*next_symbol_mut = i as i32 - (max_code_length as i32);
217,src/decode.rs,970,1,0,0,2,1.0,1.0,inf,fast_mut!((s.symbols_lists_array)[(s.symbol_lists_index as i32
218,src/decode.rs,975,1,0,0,2,1.0,1.0,inf,s.symbol = 0;
219,src/decode.rs,976,1,0,0,2,1.0,1.0,inf,s.prev_code_len = kDefaultCodeLength;
220,src/decode.rs,977,1,0,0,2,1.0,1.0,inf,s.repeat = 0;
221,src/decode.rs,978,1,0,0,2,1.0,1.0,inf,s.repeat_code_len = 0;
222,src/decode.rs,979,1,0,0,2,1.0,1.0,inf,s.space = 32768;
223,src/decode.rs,981,1,0,0,2,1.0,1.0,inf,s.substate_huffman = BrotliRunningHuffmanState::BROTLI_STATE_HUFFMAN_LENGTH_SYMBOLS;
224,src/decode.rs,985,1,0,0,2,1.0,1.0,inf,"let mut result = ReadSymbolCodeLengths(max_symbol, s, input);"
